# GrafPop package includes a C++ program grafpop, three auxiliary Perl programs and some data files for testing the software.			
# The test genotype data were extracted from the sequence data of 1000 Genome Project (the prefix TGP in filenames stands for Thousand Genome Project), including only the ~100,000 SNPs used by GrafPop. 			
			
File	Description	Location	Date created
grafpop	The C++ program	https://github.com/ncbi/dbsnp/tree/graf-pop-test/Frequency%20Project/graf-pop/grafpop	10/8/2021
PlotGrafPopResults.pl	Perl script to plot the results generated by the C++ program	https://github.com/ncbi/dbsnp/tree/graf-pop-test/Frequency%20Project/graf-pop/PlotGrafPopResults.pl	10/8/2021
ExtractAncSnpsFromVcfGz.pl	Perl script to extract genotypes from genotype files in VCF format (zipped or not)	https://github.com/ncbi/dbsnp/tree/graf-pop-test/Frequency%20Project/graf-pop/ExtractAncSnpsFromVcfGz.pl	10/8/2021
SaveSamples.pl	Perl script to save samples and their ancestry scores and population assignments to a file	https://github.com/ncbi/dbsnp/tree/graf-pop-test/Frequency%20Project/graf-pop/SaveSamples.pl	10/8/2021
SubjectAncestry.pm	Perl package used by the scripts	https://github.com/ncbi/dbsnp/tree/graf-pop-test/Frequency%20Project/graf-pop/SubjectAncestry.pm	10/8/2021
PopulationCutoffs.pm	Perl package used by the scripts	https://github.com/ncbi/dbsnp/tree/graf-pop-test/Frequency%20Project/graf-pop/PopulationCutoffs.pm	10/8/2021
GraphTransformation.pm	Perl package used by the scripts	https://github.com/ncbi/dbsnp/tree/graf-pop-test/Frequency%20Project/graf-pop/GraphTransformation.pm	10/8/2021
GraphParameters.pm	Perl package used by the scripts	https://github.com/ncbi/dbsnp/tree/graf-pop-test/Frequency%20Project/graf-pop/GraphParameters.pm	10/8/2021
GraphColors.pm	Perl package used by the scripts	https://github.com/ncbi/dbsnp/tree/graf-pop-test/Frequency%20Project/graf-pop/GraphColors.pm	10/8/2021
GrafPopFiles.pm	Perl package used by the scripts	https://github.com/ncbi/dbsnp/tree/graf-pop-test/Frequency%20Project/graf-pop/GrafPopFiles.pm	10/8/2021
AncInferSNPs.txt	SNPs used by GrafPop for ancestry inference	https://ftp.ncbi.nlm.nih.gov/dbgap/GrafPop/data/AncInferSNPs.txt	10/8/2021
TGP_SbjPop.txt	Subject populations of 1000 Genome Project	https://ftp.ncbi.nlm.nih.gov/dbgap/GrafPop/data/TGP_SbjPop.txt	10/8/2021
TGP_SbjSuperPop.txt	Subject super populations of 1000 Genome Project	https://ftp.ncbi.nlm.nih.gov/dbgap/GrafPop/data/TGP_SbjSuperPop.txt	10/8/2021
TGP_anc_geno.bed	The .bed file of the test genotype data in PLINK binary format	https://ftp.ncbi.nlm.nih.gov/dbgap/GrafPop/data/TGP_anc_geno.bed	10/8/2021
TGP_anc_geno.bim	The .bim file of the test genotype data in PLINK binary format	https://ftp.ncbi.nlm.nih.gov/dbgap/GrafPop/data/TGP_anc_geno.bim	10/8/2021
TGP_anc_geno.fam	The .fam file of the test genotype data in PLINK binary format	https://ftp.ncbi.nlm.nih.gov/dbgap/GrafPop/data/TGP_anc_geno.fam	10/8/2021
TG_2smps_chr4.vcf	The test data with two samples and SNPs from chromosome 4 in VCF format	https://ftp.ncbi.nlm.nih.gov/dbgap/GrafPop/data/TG_2smps_chr4.vcf	10/8/2021
TG_2smps_chr9.vcf	The test data with two samples and SNPs from chromosome 9 in VCF format	https://ftp.ncbi.nlm.nih.gov/dbgap/GrafPop/data/TG_2smps_chr9.vcf	10/8/2021
TG_2smps_chr13.vcf	The test data with two samples and SNPs from chromosome 13 in VCF format	https://ftp.ncbi.nlm.nih.gov/dbgap/GrafPop/data/TG_2smps_chr13.vcf	10/8/2021
TG_2_zip_chr2.vcf.gz	The test data with two samples and SNPs from chromosome 2 in VCF format, zipped	https://ftp.ncbi.nlm.nih.gov/dbgap/GrafPop/data/TG_2_zip_chr2.vcf.gz	10/8/2021
TG_2_zip_chr16.vcf.gz	The test data with two samples and SNPs from chromosome 16 in VCF format, zipped	https://ftp.ncbi.nlm.nih.gov/dbgap/GrafPop/data/TG_2_zip_chr16.vcf.gz	10/8/2021
TG_2_zip_chr17.vcf.gz	The test data with two samples and SNPs from chromosome 17 in VCF format, zipped	https://ftp.ncbi.nlm.nih.gov/dbgap/GrafPop/data/TG_2_zip_chr17.vcf.gz	10/8/2021
TG_2_zip_chr22.vcf.gz	The test data with two samples and SNPs from chromosome 22 in VCF format, zipped	https://ftp.ncbi.nlm.nih.gov/dbgap/GrafPop/data/TG_2_zip_chr22.vcf.gz	10/8/2021
TG_10_1000_g38.bed	The.bed file of the test data with 10 samples and 1000 SNPs in GRCh38 assembly and PLINK binary format	https://ftp.ncbi.nlm.nih.gov/dbgap/GrafPop/data/TG_10_1000_g38.bed	10/8/2021
TG_10_1000_g38.bim	The.bim file of the test data with 10 samples and 1000 SNPs in GRCh38 assembly and PLINK binary format	https://ftp.ncbi.nlm.nih.gov/dbgap/GrafPop/data/TG_10_1000_g38.bim	10/8/2021
TG_10_1000_g38.fam	The.fam file of the test data with 10 samples and 1000 SNPs in GRCh38 assembly and PLINK binary format	https://ftp.ncbi.nlm.nih.gov/dbgap/GrafPop/data/TG_10_1000_g38.fam	10/8/2021
TG_10_1000_g37.bed	The.bed file of the test data with 10 samples and 1000 SNPs in GRCh37 assembly and PLINK binary format	https://ftp.ncbi.nlm.nih.gov/dbgap/GrafPop/data/TG_10_1000_g37.bed	10/8/2021
TG_10_1000_g37.bim	The.bim file of the test data with 10 samples and 1000 SNPs in GRCh37 assembly and PLINK binary format	https://ftp.ncbi.nlm.nih.gov/dbgap/GrafPop/data/TG_10_1000_g37.bim	10/8/2021
TG_10_1000_g37.fam	The.fam file of the test data with 10 samples and 1000 SNPs in GRCh37 assembly and PLINK binary format	https://ftp.ncbi.nlm.nih.gov/dbgap/GrafPop/data/TG_10_1000_g37.fam	10/8/2021
			
